Prediciton_Label,Test_Label
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
-1,-1.0
1,-1.0
1,-1.0
1,-1.0
1,-1.0
-1,-1.0
1,-1.0
1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,-1.0
1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,-1.0
1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,-1.0
1,-1.0
1,-1.0
1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,-1.0
1,-1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
